analita ; misura1;misura2
boro    ;2,041;1,993
boro    ;1,972;1,842
boro    ;1,933;1,973
boro    ;2,054;1,964
boro    ;1,975;1,793
boro    ;1,916;1,862
boro    ;1,937;1,765
boro    ;2,088;1,956
boro    ;1,909;1,923
boro    ;2,221;2,105
boro    ;1,862;2,034
boro    ;2,083;2,225
boro    ;2,014;2,106
boro    ;2,045;1,877
boro    ;1,936;1,948
boro    ;2,037;1,949
boro    ;1,958;1,822
boro    ;1,959;2,039
boro    ;1,851;1,937
ferro   ;1,942;2,058
ferro   ;2,103;1,937
ferro   ;2,064;2,262
ferro   ;2,105;2,211
ferro   ;2,206;2,134
ferro   ;2,257;2,267
ferro   ;2,308;2,312
ferro   ;2,039;1,855
ferro   ;1,981;1,865
ferro   ;1,762;1,836
ferro   ;2,083;1,939
ferro   ;2,044;1,876
ferro   ;2,155;2,267
ferro   ;2,006;1,964
ferro   ;2,127;2,105
ferro   ;1,908;1,752
ferro   ;1,919;1,741
ferro   ;1,9;1,718
ferro   ;1,841;1,993
